idx	n_mut
49916	2
51632	2
40010	2
23258	2
3692	2
38879	2
45420	2
29112	2
29044	2
42613	2
32983	2
53480	2
5628	2
35019	2
19850	2
1179	2
5199	2
18740	2
9336	2
42470	2
3700	2
51177	2
27990	2
35755	2
42235	2
40360	2
21121	2
13444	2
264	2
18976	2
36172	2
12056	2
19142	2
9104	2
40629	2
2195	3
25083	3
13680	3
14816	3
46405	3
22829	3
40738	3
13071	3
3215	3
45587	3
45599	3
4529	3
9488	3
25218	3
23868	3
42616	3
52340	3
49143	3
34342	3
30757	3
5495	3
28752	3
25383	3
36328	3
45159	3
22990	3
37857	3
44137	3
7414	3
53491	3
45235	3
53789	3
11130	3
26781	3
17607	3
50940	3
33204	3
11168	3
45700	3
6617	3
2382	3
11405	3
23483	3
1288	3
9737	3
43155	3
53987	3
37125	3
45436	3
14820	3
26577	3
15141	3
5345	3
23786	3
9572	3
24924	3
22626	3
47895	3
3232	3
27230	3
24462	3
5082	3
10980	3
6113	3
9628	3
8212	3
40341	3
47265	3
29556	3
2026	3
10188	3
11634	3
42928	3
41977	3
10268	3
37262	3
28316	3
53342	3
34410	3
24003	3
33147	3
46168	3
48391	3
47472	3
4121	3
30003	3
35321	3
25106	3
52902	3
40864	3
17464	3
247	3
34815	3
41835	3
4374	3
31563	3
22937	3
26284	3
52949	3
36145	3
47991	3
22679	3
41120	3
47030	3
24087	3
47513	3
53763	3
44139	3
11278	3
25968	3
8117	3
34229	3
48669	3
41739	3
21650	3
45866	3
44910	3
29446	3
18601	3
24175	3
3520	3
9452	3
45258	3
17136	3
4999	3
25739	3
50951	3
28334	3
30245	3
46443	3
38906	3
10333	3
20946	3
23131	3
2215	3
40275	3
44356	3
6537	3
35278	3
35706	3
47081	3
42397	3
40856	3
17062	3
46385	3
14910	3
20947	3
18834	3
3278	3
13569	3
33988	3
48798	3
989	3
14927	3
35627	3
52842	3
12143	3
44932	3
2164	3
49307	3
15472	3
25291	3
35280	3
52197	3
8171	3
39163	3
53588	3
34197	3
41033	3
2218	3
40136	3
11621	3
33239	3
23028	3
11472	3
34020	3
52981	3
2528	3
42837	3
22326	3
52797	3
45380	3
15007	3
49772	3
53595	3
50396	3
11562	3
23220	3
26116	3
28796	3
1229	3
33966	3
38043	3
1358	3
34574	3
15107	3
10129	3
20787	3
27143	3
26761	3
23626	3
40331	3
13385	3
14442	3
34529	3
52324	3
30670	3
27089	3
19157	3
18681	3
49897	3
35628	3
28453	3
41312	3
35644	3
36552	3
36016	3
35949	3
37054	3
50336	3
42630	3
50329	3
19978	3
21575	3
28638	3
38059	3
52539	3
27176	3
50971	3
4722	3
34403	3
3586	3
40608	3
38592	3
46828	3
27160	4
23167	4
36590	4
4385	4
44637	4
24181	4
44914	4
46314	4
50941	4
42925	4
53168	4
2586	4
53211	4
53948	4
50616	4
46999	4
25469	4
5181	4
46357	4
30813	4
52827	4
14921	4
53358	4
14912	4
20675	4
27903	4
29519	4
18576	4
19952	4
16786	4
2411	4
10768	4
40661	4
33238	4
35799	4
33299	4
11872	4
14893	4
982	4
12490	4
34123	4
48689	4
1687	4
33226	4
28840	4
27280	4
53226	4
7401	4
22452	4
8936	4
11120	4
45480	4
24940	4
37526	4
5151	4
38939	4
11987	4
53957	4
42882	4
16442	4
28086	4
35999	4
48485	4
31919	4
39199	4
7272	4
49103	4
17061	4
8095	4
20499	4
22882	4
35094	4
7481	4
44907	4
52111	4
28553	4
39328	4
43817	4
53105	4
33329	4
43001	4
10166	4
37409	4
49263	4
3028	4
17325	4
20074	4
15123	4
16917	4
20331	4
41046	4
34777	4
43700	4
26461	4
25444	4
32607	4
18702	4
32076	4
52974	4
31960	4
37137	4
14421	4
465	4
19670	4
23720	4
11869	4
15652	4
39112	4
37733	4
45558	4
18266	4
40913	4
29554	4
25905	4
27944	4
46886	4
50161	4
10843	4
17616	4
11915	4
17301	4
48781	4
15468	4
14971	4
426	4
23082	4
11191	4
45853	4
31177	4
5093	4
6328	4
4076	4
52784	4
47118	4
9280	4
11752	4
13564	4
25759	4
5717	4
44610	4
13422	4
41362	4
35324	4
30879	4
52972	4
46750	4
9220	4
1381	4
50736	4
24575	4
45561	4
973	4
50516	4
1588	4
22321	4
5193	4
28628	4
19846	4
29961	4
29674	4
20023	4
50789	4
51168	4
45923	4
27287	4
21621	4
49825	4
12477	4
15284	4
15899	4
45095	4
7620	4
41725	4
40660	4
34586	4
42393	4
3718	4
7554	4
17099	4
53712	4
49301	4
571	5
1300	5
19376	5
11054	5
18583	5
26838	5
53258	5
22605	5
40496	5
3034	5
34463	5
629	5
26482	5
41481	5
47830	5
51251	5
13121	5
26344	5
7621	5
37870	5
42953	5
47633	5
2886	5
185	5
50930	5
16250	5
22979	5
47551	5
17632	5
21050	5
52787	5
30069	5
175	5
3782	5
31292	5
3839	5
38396	5
41557	5
31445	5
44183	5
10642	5
52161	5
37869	5
542	5
31198	5
16546	5
19498	5
51450	5
53473	5
14203	5
5799	5
8203	5
2018	5
44426	5
52113	5
453	5
40709	5
6604	5
29239	5
44371	5
12006	5
8476	5
49604	5
39246	5
12109	5
50430	5
18879	5
16579	5
3262	5
48862	5
2100	5
44117	5
21655	5
2568	5
27525	5
94	5
49679	5
28879	5
20203	5
7842	5
41628	5
8639	5
43811	5
47111	5
16481	5
17628	5
1523	5
11619	5
36039	5
32970	5
7740	5
4042	5
27854	5
2178	5
39092	5
14306	5
28347	5
39148	5
1156	5
24808	5
52940	5
49637	5
25043	5
26135	5
14563	5
39484	5
14934	5
15998	5
40772	5
28685	5
44406	5
16016	5
16705	5
16453	5
51104	5
29453	5
44718	5
25054	5
47665	5
17528	5
37814	5
27600	5
51403	5
885	5
43566	5
43639	5
41840	5
25051	5
13263	5
95	5
34377	5
586	5
45789	5
50338	5
46724	6
46124	6
1202	6
34352	6
46747	6
39624	6
3313	6
45803	6
16157	6
47859	6
6934	6
14126	6
4155	6
47561	6
16373	6
39834	6
19478	6
7800	6
11821	6
47374	6
30510	6
41214	6
30704	6
47062	6
32571	6
18078	6
34873	6
11148	6
49006	6
3823	6
46137	6
27494	6
16317	6
53248	6
33212	6
13615	6
882	6
33572	6
41158	6
5619	6
38079	6
46006	6
44686	6
48195	6
21671	6
28898	6
41393	6
10705	6
771	6
8806	6
44211	6
3234	6
32506	6
31035	6
48374	6
27535	6
37595	6
393	6
37730	6
26848	6
24944	6
137	6
7246	6
41065	6
13669	6
13296	6
30947	6
44324	6
13842	6
46512	6
51664	6
18889	6
3828	6
7151	6
38915	6
51509	6
11202	6
8108	6
714	6
40834	6
7520	6
48560	6
21102	6
42955	6
44438	6
27626	6
27042	7
35264	7
49035	7
48516	7
3181	7
3807	7
51807	7
6874	7
19915	7
12352	7
13735	7
20216	7
34667	7
2377	7
5858	7
38383	7
25856	7
5496	7
3642	7
2129	7
38153	7
2320	7
13710	7
53432	7
16220	7
21411	7
28761	7
48452	7
45458	7
32998	7
16599	7
12546	7
24330	7
31886	7
24827	7
31646	7
49151	7
41499	7
49749	7
37147	7
8527	7
2894	7
15711	7
39346	7
38272	7
53024	7
43998	7
51569	7
38176	7
2130	7
30380	7
19857	7
5344	8
3184	8
40526	8
16477	8
7657	8
33190	8
2531	8
2465	8
18626	8
31247	8
49233	8
39206	8
42291	8
42803	8
33679	8
24378	8
37203	8
31720	8
10518	8
53456	8
27619	8
32796	8
21972	8
8110	8
44462	8
17983	8
19520	8
8772	8
22662	1
23225	1
21024	1
17478	1
34757	1
40021	1
3460	1
39300	1
16242	1
39688	1
48837	1
33400	1
18747	1
10354	1
31592	1
16386	1
38851	1
3452	1
21919	1
52314	1
42797	1
3791	9
41570	9
31329	9
17058	9
10967	9
8344	9
16052	9
7020	9
48991	9
47537	9
4579	9
49734	9
51482	9
27478	10
5931	10
46679	10
27865	10
38490	10
30937	10
25229	10
2014	11
7981	11
360	11
49646	12
